id	V6_leaf	R1_leaf	R1_stalk	R1_husk	R1_silk
noIns	158	94.8	1100	532	564
noIns	188	77.2	1320	614	831
noIns	99.6	80.8	1170	367	64.9
noIns	119	78.5	1260	541	655
noIns	179	141	1190	530	678
noIns	190	82.4	1140	652	721
sIns2_335_504_fwd	102	41.1	791	340	401
sIns2_335_504_fwd	115	54.5	710	269	568
sIns2_335_504_fwd	92.9	35.8	835	338	602
sIns2_335_504_fwd	91.7	42.7	659	228	650
sIns2_335_504_fwd	80.2	47.1	1010	304	442
sIns2_335_504_fwd	87.6	70	911	270	592
noEnh	23.9	15	115	76.4	68.9
noEnh	14.5	0	89	54.3	62.4
noEnh	22.7	23.3	156	68.3	54.3
noEnh	29.4	11.7	102	72.8	72.7
noEnh	25.3	17	114	83.4	23.7
noEnh	19	15.5	150	100	69.9
beta-phaseolin_1395_1564_fwd	164	106	961	456	696
beta-phaseolin_1395_1564_fwd	135	94.7	988	NA	NA
beta-phaseolin_1395_1564_fwd	158	106	1960	614	314
beta-phaseolin_1395_1564_fwd	155	84.1	964	499	543
beta-phaseolin_1395_1564_fwd	75.1	49.9	513	261	311
beta-phaseolin_1395_1564_fwd	115	69.2	1090	584	292
beta-phaseolin_612_781_rev	205	83.6	1030	597	462
beta-phaseolin_612_781_rev	185	64.6	1550	676	521
beta-phaseolin_612_781_rev	181	96.5	1130	531	596
beta-phaseolin_612_781_rev	185	71.2	1460	428	450
beta-phaseolin_612_781_rev	166	86.8	1360	445	448
beta-phaseolin_612_781_rev	215	75.3	1430	609	553
lambda-EXOB_497_666_rev	190	73.6	1250	530	531
lambda-EXOB_497_666_rev	193	65.9	1280	490	634
lambda-EXOB_497_666_rev	169	64.2	1230	603	604
lambda-EXOB_497_666_rev	140	66.8	1340	532	429
lambda-EXOB_497_666_rev	186	77.7	1840	479	502
lambda-EXOB_497_666_rev	161	81.5	1110	574	439
beta-phaseolin_2187_2356_rev	150	61.3	1220	549	353
beta-phaseolin_2187_2356_rev	137	60.9	1290	573	380
beta-phaseolin_2187_2356_rev	147	84.1	1290	584	346
beta-phaseolin_2187_2356_rev	177	88.1	1510	565	515
beta-phaseolin_2187_2356_rev	132	59.7	931	484	427
TBS_588_757_fwd	190	45.3	1180	519	389
TBS_588_757_fwd	190	52.5	1540	350	571
TBS_588_757_fwd	134	65.6	1610	569	402
TBS_588_757_fwd	144	80.8	1480	526	419
TBS_588_757_fwd	123	70.1	1360	563	452
TBS_588_757_fwd	123	64.4	1430	633	775
